RefDateTime,WIGOS,Telepules,Lat,Lon,Temp,Bulletin
2024-09-06 10:50:00,52523,Zabar,48.14139,20.05583,27.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,52614,Lenarddaroc,48.14417,20.37361,27.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,52733,Miskolc Szentlelek,48.12194,20.52444,23.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,52744,Miskolc Diosgyor,48.09472,20.72667,28.7,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,53101,Kekesteto,47.87222,20.01278,19.7,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,53215,Eger,47.90389,20.38889,28.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,53407,Gelej,47.8425,20.80583,29.5,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,53521,Kompolt,47.73972,20.23583,28.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,53811,Tiszacsege,47.67833,20.98778,29.4,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,54107,Jaszapati,47.52,20.14889,26.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,54309,Poroszlo,47.65611,20.65361,29.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,54817,Kunmadaras kulterulet,47.46556,20.89083,30.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,55211,Torokszentmiklos,47.18361,20.46944,,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,55405,Karcag,47.28944,20.89028,30.3,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,55507,Szolnok repuloter,47.11722,20.23111,25.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,55508,Szolnok repuloter (eszak),47.12972,20.23806,,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,55808,Turkeve,47.09556,20.75167,25.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,56312,Szarvas,46.86972,20.5275,23.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,57202,Szentes repuloter,46.61306,20.28611,27.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,57311,Oroshaza,46.54417,20.6875,26.5,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,58116,Szeged kulterulet,46.25611,20.09056,28.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,58213,Kiszombor,46.19,20.39917,28.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,58300,Pitvaros,46.31722,20.73667,26.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,61104,Hidasnemeti,48.51056,21.235,28.4,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,61617,Basko,48.33333,21.33306,25.5,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,61700,Sarospatak Malomkogyar,48.33694,21.57083,,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,61709,Satoraljaujhely,48.38083,21.65889,29.5,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,62414,Tiszacsermely,48.235,21.79944,29.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,62612,Tarcal,48.145,21.33444,28.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,62707,Buj Nadastotanya,48.06833,21.60528,29.3,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,63210,Tiszavasvari kulterulet,47.97139,21.48028,28.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,63305,Nyiregyhaza repuloter,47.98083,21.69111,,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,63306,Nyiregyhaza repuloter (eszak),47.99,21.69056,28.9,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,63413,Napkor,47.96222,21.88694,29.9,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,63502,Folyas,47.80306,21.13778,31.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,63707,Ujfeherto,47.82167,21.67139,29.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,64209,Nagyhegyes Elep,47.53778,21.30917,29.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,64310,Debrecen Kismacs,47.57667,21.5825,29.7,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,64710,Debrecen repuloter (eszak),47.49528,21.62361,,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,64711,Debrecen repuloter,47.48444,21.60556,30.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,64713,Derecske Petofi major,47.36528,21.54972,30.7,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,65105,Szerep,47.23083,21.14722,30.5,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,65700,Korosszakal,47.01972,21.59417,32.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,66103,Korosladany,46.97778,21.05444,26.8,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,66522,Bekescsaba repuloter,46.67972,21.16083,26.5,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,67507,Lokoshaza,46.42833,21.24361,28.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,71505,Zahony,48.39861,22.1775,29.7,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,72512,Nyirtass,48.10056,22.04611,29.6,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,72618,Vasarosnameny,48.125,22.29806,29.2,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,72805,Milota,48.10417,22.76944,30.1,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,73110,Nyirkata Herczeghtanya,47.86361,22.22222,29.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,73313,Csenger,47.84556,22.66306,29.4,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,73505,Nyirlugos,47.69611,22.05694,29.0,'ISAD30_HABP_061050.dat'        
2024-09-06 10:50:00,74500,Bagamer,47.44,22.00111,30.2,'ISAD30_HABP_061050.dat'        
